Nom Dalle,Pixels Blancs (Arbres),Pourcentage Verdure (%),Surface Arborée (m2)
18385_51865_5cm_CC46,40457161,40.4572,101142.90
18345_51865_5cm_CC46,28884791,28.8848,72211.98
18380_51865_5cm_CC46,48985622,48.9856,122464.06
18350_51865_5cm_CC46,18482031,18.4820,46205.08
18375_51865_5cm_CC46,41130653,41.1307,102826.63
18390_51865_5cm_CC46,30565478,30.5655,76413.70
18360_51865_5cm_CC46,9150599,9.1506,22876.50
18370_51865_5cm_CC46,39036556,39.0366,97591.39
18355_51865_5cm_CC46,27046104,27.0461,67615.26
18365_51865_5cm_CC46,16663956,16.6640,41659.89
18395_51865_5cm_CC46,37243226,37.2432,93108.07
18400_51865_5cm_CC46,39695826,39.6958,99239.57
18405_51865_5cm_CC46,36355502,36.3555,90888.76
18410_51865_5cm_CC46,31831033,31.8310,79577.58
18425_51865_5cm_CC46,9156780,9.1568,22891.95
18415_51865_5cm_CC46,19100282,19.1003,47750.71
18435_51865_5cm_CC46,24387545,24.3875,60968.86
18420_51865_5cm_CC46,19121538,19.1215,47803.85
18430_51865_5cm_CC46,15756797,15.7568,39391.99
18445_51865_5cm_CC46,42696519,42.6965,106741.30
18450_51865_5cm_CC46,8234697,8.2347,20586.74
18470_51865_5cm_CC46,10828165,10.8282,27070.41
18455_51865_5cm_CC46,20805027,20.8050,52012.57
18390_51860_5cm_CC46,1852973,1.8530,4632.43
18460_51865_5cm_CC46,23741705,23.7417,59354.26
18440_51865_5cm_CC46,21082221,21.0822,52705.55
18385_51860_5cm_CC46,4219638,4.2196,10549.09
18465_51865_5cm_CC46,33642555,33.6426,84106.39
18475_51865_5cm_CC46,13893184,13.8932,34732.96
18480_51865_5cm_CC46,7923454,7.9235,19808.64
18340_51860_5cm_CC46,21144569,21.1446,52861.42
18345_51860_5cm_CC46,26586033,26.5860,66465.08
18350_51860_5cm_CC46,19388581,19.3886,48471.45
18380_51860_5cm_CC46,44260934,44.2609,110652.34
18365_51860_5cm_CC46,23900343,23.9003,59750.86
18370_51860_5cm_CC46,34719772,34.7198,86799.43
18360_51860_5cm_CC46,11862870,11.8629,29657.17
18355_51860_5cm_CC46,22644573,22.6446,56611.43
18375_51860_5cm_CC46,47239461,47.2395,118098.65
18400_51860_5cm_CC46,35931958,35.9320,89829.90
18395_51860_5cm_CC46,28646483,28.6465,71616.21
18410_51860_5cm_CC46,39730331,39.7303,99325.83
18405_51860_5cm_CC46,59286130,59.2861,148215.33
18415_51860_5cm_CC46,29880507,29.8805,74701.27
18425_51860_5cm_CC46,12013883,12.0139,30034.71
18430_51860_5cm_CC46,17260765,17.2608,43151.91
18420_51860_5cm_CC46,20925637,20.9256,52314.09
18435_51860_5cm_CC46,10988441,10.9884,27471.10
18440_51860_5cm_CC46,23291381,23.2914,58228.45
18445_51860_5cm_CC46,16622553,16.6226,41556.38
18460_51860_5cm_CC46,13623147,13.6231,34057.87
18455_51860_5cm_CC46,14458328,14.4583,36145.82
18465_51860_5cm_CC46,14777600,14.7776,36944.00
18450_51860_5cm_CC46,11053068,11.0531,27632.67
18380_51855_5cm_CC46,3176358,3.1764,7940.90
18470_51860_5cm_CC46,23687691,23.6877,59219.23
18480_51860_5cm_CC46,10975693,10.9757,27439.23
